Borough,Turnout,Vote_Remian,Vote_Leave,Prop_Remain,Prop_Leave
Barking and Dagenham,0.638,27750,46130,0.376,0.624
Barnet,0.721,100210,60823,0.622,0.378
Bexley,0.752,47603,80886,0.370,0.630
Brent,0.650,72523,48881,0.597,0.403
Bromley,0.788,92398,90034,0.506,0.494
Camden,0.654,71295,23838,0.749,0.251
City of London,0.735,3312,1087,0.753,0.247
Croydon,0.698,92913,78221,0.543,0.457
Ealing,0.700,90024,59017,0.604,0.396
Enfield,0.690,76425,60481,0.558,0.442
Greenwich,0.695,65248,52117,0.556,0.444
Hackney,0.651,83398,22868,0.785,0.215
Hammersmith and Fulham,0.699,56188,24054,0.700,0.300
Haringey,0.705,79991,25855,0.756,0.244
Harrow,0.722,64042,53183,0.546,0.454
Havering,0.760,42201,96885,0.303,0.697
Hillingdon,0.689,58040,74982,0.436,0.564
Hounslow,0.697,58755,56321,0.511,0.489
Islington,0.703,76420,25180,0.752,0.248
Kensington and Chelsea,0.659,37601,17138,0.687,0.313
Kingston upon Thames,0.783,52533,32737,0.616,0.384
Lambeth,0.673,111584,30340,0.786,0.214
Lewisham,0.630,86955,37518,0.699,0.301
Merton,0.734,63003,37097,0.629,0.371
Newham,0.592,55328,49371,0.528,0.472
Redbridge,0.675,69213,59020,0.540,0.460
Richmond upon Thames,0.820,75396,33410,0.693,0.307
Southwark,0.661,94293,35209,0.728,0.272
Sutton,0.760,49319,57241,0.463,0.537
Tower Hamlets,0.645,73011,35224,0.675,0.325
Waltham Forest,0.666,64156,44395,0.591,0.409
Wandsworth,0.719,118463,39421,0.750,0.250
Westminster,0.649,53928,24268,0.690,0.310
