Borough,Chicken,Coffee,Inner,Status,Local authority,Political control,Headquarters,Area (sq mi),Area (sq km),Population (2013 est),Nr. in map,HQ_Co_ordinates
Barking and Dagenham,33,25,,,Barking and Dagenham London Borough Council,Labour,"Town Hall, 1 Town Square",13.93,36.078560700000004,194352,25.0,"(51.5607, 0.1557)"
Barnet,37,92,,,Barnet London Borough Council,Conservative,"North London Business Park, Oakleigh Road South",33.49,86.7387651,369088,31.0,"(51.6252, -0.1517)"
Bexley,31,45,,,Bexley London Borough Council,Conservative,"Civic Offices, 2 Watling Street",23.38,60.5539662,236687,23.0,"(51.4549, 0.1505)"
Brent,46,40,,,Brent London Borough Council,Labour,"Brent Civic Centre, Engineers Way",16.7,43.252833,317264,12.0,"(51.5588, -0.2817)"
Bromley,42,91,,,Bromley London Borough Council,Conservative,"Civic Centre, Stockwell Close",57.97,150.14172030000003,317899,20.0,"(51.4039, 0.0198)"
Camden,20,69,1.0,,Camden London Borough Council,Labour,"Camden Town Hall, Judd Street",8.4,21.755916,229719,11.0,"(51.529, -0.1255)"
City of London,1,14,1.0,City,Corporation of London,,Guildhall,1.12,2.9007888,7000,,"(51.5074, -0.1278)"
Croydon,67,55,,,Croydon London Borough Council,Labour,"Bernard Weatherill House, Mint Walk",33.41,86.5315659,372752,19.0,"(51.3714, -0.0977)"
Ealing,40,62,,,Ealing London Borough Council,Labour,"Perceval House, 14-16 Uxbridge Road",21.44,55.529385600000005,342494,13.0,"(51.513, -0.3089)"
Enfield,36,60,,,Enfield London Borough Council,Labour,"Civic Centre, Silver Street",31.74,82.2062826,320524,30.0,"(51.6538, -0.0799)"
Greenwich,21,33,1.0,Royal,Greenwich London Borough Council,Labour,"Woolwich Town Hall, Wellington Street",18.28,47.3450172,264008,22.0,"(51.4892, 0.0648)"
Hackney,24,52,1.0,,Hackney London Borough Council,Labour,"Hackney Town Hall, Mare Street",7.36,19.0623264,257379,9.0,"(51.545, -0.0553)"
Hammersmith and Fulham,20,54,1.0,,Hammersmith and Fulham London Borough Council,Labour,"Town Hall, King Street",6.33,16.3946367,178685,4.0,"(51.4927, -0.2339)"
Haringey,34,57,,,Haringey London Borough Council,Labour,"Civic Centre, High Road",11.42,29.5776858,263386,29.0,"(51.6, -0.1119)"
Harrow,34,45,,,Harrow London Borough Council,Labour,"Civic Centre, Station Road",19.49,50.478905100000006,243372,32.0,"(51.5898, -0.3346)"
Havering,40,66,,,Havering London Borough Council,Conservative,"Town Hall, Main Road",43.35,112.2760665,242080,24.0,"(51.5812, 0.1837)"
Hillingdon,60,91,,,Hillingdon London Borough Council,Conservative,"Civic Centre, High Street",44.67,115.6948533,286806,33.0,"(51.5441, -0.476)"
Hounslow,48,58,,,Hounslow London Borough Council,Labour,"Civic Centre, Lampton Road",21.61,55.96968390000001,262407,14.0,"(51.4746, -0.368)"
Islington,20,53,1.0,,Islington London Borough Council,Labour,"Municipal Offices, 222 Upper Street",5.74,14.8665426,215667,10.0,"(51.5416, -0.1022)"
Kensington and Chelsea,6,32,1.0,Royal,Kensington and Chelsea London Borough Council,Conservative,"The Town Hall, Hornton Street",4.68,12.121153199999998,155594,3.0,"(51.502, -0.1947)"
Kingston upon Thames,42,50,,Royal,Kingston upon Thames London Borough Council,Liberal Democrat,"Guildhall, High Street",14.38,37.2440562,166793,16.0,"(51.4085, -0.3064)"
Lambeth,38,62,1.0,,Lambeth London Borough Council,Labour,"Lambeth Town Hall, Brixton Hill",10.36,26.832296399999997,314242,6.0,"(51.4607, -0.1163)"
Lewisham,49,49,1.0,,Lewisham London Borough Council,Labour,"Town Hall, 1 Catford Road",13.57,35.146164299999995,286180,21.0,"(51.4452, -0.0209)"
Merton,21,35,,,Merton London Borough Council,Labour,"Civic Centre, London Road",14.52,37.606654799999994,203223,17.0,"(51.4014, -0.1958)"
Newham,40,44,,,Newham London Borough Council,Labour,"Newham Dockside, 1000 Dockside Road",13.98,36.2080602,318227,27.0,"(51.5077, 0.0469)"
Redbridge,26,49,,,Redbridge London Borough Council,Labour,"Town Hall, 128-142 High Road",21.78,56.4099822,288272,26.0,"(51.559, 0.0741)"
Richmond upon Thames,16,84,,,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre, 44 York Street",22.17,57.42007829999999,191365,15.0,"(51.4479, -0.326)"
Southwark,34,59,1.0,,Southwark London Borough Council,Labour,160 Tooley Street,11.14,28.8524886,298464,7.0,"(51.5035, -0.0804)"
Sutton,27,39,,,Sutton London Borough Council,Liberal Democrat,"Civic Offices, St Nicholas Way",16.93,43.848530700000005,195914,18.0,"(51.3618, -0.1945)"
Tower Hamlets,42,66,1.0,,Tower Hamlets London Borough Council,Labour,"Town Hall, Mulberry Place, 5 Clove Crescent",7.63,19.761623699999998,272890,8.0,"(51.5099, -0.0059)"
Waltham Forest,35,48,,,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall, Forest Road",14.99,38.8239501,265797,28.0,"(51.5908, -0.0134)"
Wandsworth,24,72,1.0,,Wandsworth London Borough Council,Conservative,"The Town Hall, Wandsworth High Street",13.23,34.265567700000005,310516,5.0,"(51.4567, -0.191)"
Westminster,23,74,1.0,City,Westminster City Council,Conservative,"Westminster City Hall, 64 Victoria Street",8.29,21.4710171,226841,2.0,"(51.4973, -0.1372)"
