,Shop,Address,Latitude,Longitude,Borough
0,APR Chicken and Pizza Limited,"178 Ripple Rd, Barking IG11 7PR, UK",51.53406039999999,0.084489,Barking and Dagenham
1,Angies Kebab Dagenham,"505 Gale St, Dagenham RM9 4TP, UK",51.5398439,0.1278586,Barking and Dagenham
2,Best Bite Chicken,"481 Wood Ln, Dagenham RM8 3NT, UK",51.56022429999999,0.1477518,Barking and Dagenham
3,Chicken Express,"213 Reede Rd, Dagenham RM10 8EH, UK",51.54528329999999,0.1608485,Barking and Dagenham
4,Chicken Max,"57 Lockwell Rd, Dagenham RM10 7RE, UK",51.55386799999999,0.1491179,Barking and Dagenham
5,Chicken Rice,"33 Longbridge Rd, Barking IG11 8TN, UK",51.5403099,0.08234369999999999,Barking and Dagenham
6,Chicken Spot,"110 High Rd, Dagenham, Romford RM6 6NX, UK",51.57161869999999,0.1357505,Barking and Dagenham
7,Chunky Chicken,"70 Longbridge Rd, Barking IG11 8SF, UK",51.541,0.083825,Barking and Dagenham
8,Dixy Chicken,"258 Rainham Rd S, Dagenham RM10 7UU, UK",51.550982,0.1613165,Barking and Dagenham
9,Favorite Chicken & Ribs,"20 Woodward Rd, Dagenham RM9 4SH, UK",51.538857,0.126679,Barking and Dagenham
10,Favorite Chicken & Ribs,"102 Dagenham Rd, Rush Green, Dagenham, Romford RM7 0TJ, UK",51.56459,0.1757188,Barking and Dagenham
11,Favorite Chicken & Ribs,"Faircross Parade, 23 Upney Ln, Barking IG11 8UW, UK",51.5456762,0.0941925,Barking and Dagenham
12,GRILLER,"49 High Rd, Dagenham, Romford RM6 6QJ, UK",51.5712226,0.1322107,Barking and Dagenham
13,Gourmet Hub Limited,"206 High Rd, Dagenham, Romford RM6 6LS, UK",51.572038,0.140835,Barking and Dagenham
14,Griller,"41 Station Parade, Ilford, Barking IG11 8EB, UK",51.5392559,0.08093199999999999,Barking and Dagenham
15,Hot & Tasty,"806 Green Ln, Dagenham RM8 1YT, UK",51.56176,0.12424,Barking and Dagenham
16,KFC,"39 Station Parade, Barking IG11 8EB, UK",51.5391583,0.08080459999999999,Barking and Dagenham
17,KFC,"Unit 6, 6 Merrielands Cres, Dagenham RM9 6SJ, UK",51.5309654,0.1448247,Barking and Dagenham
18,Kennedy Chicken & Pizza,"66 Station Parade, Barking IG11 8EA, UK",51.53935019999999,0.0817517,Barking and Dagenham
19,Mamas Peri Peri,"361 Ripple Rd, Barking IG11 9PN, UK",51.5357723,0.0942167,Barking and Dagenham
20,Mississippi Chicken,"225 Oxlow Ln, Dagenham RM10 7YA, UK",51.55137260000001,0.1539179,Barking and Dagenham
21,Munchies,"32 Ripple Rd, Barking IG11 7PG, UK",51.5368667,0.0807871,Barking and Dagenham
22,Original Fried Chicken,"206 High Rd, Dagenham, Romford RM6 6LS, UK",51.572038,0.140835,Barking and Dagenham
23,Papa's Peri Peri Grill,"732 Green Ln, Dagenham RM8 1YX, UK",51.56260409999999,0.1207571,Barking and Dagenham
24,Red Rooster,"301 Heathway, Dagenham RM9 5AQ, UK",51.542454,0.147854,Barking and Dagenham
25,Shajhan Indian Takeaway,"670 Rainham Rd S, Dagenham RM10 8YS, UK",51.540593,0.1657224,Barking and Dagenham
26,Tasty Chicken,"115-117 Ripple Rd, Barking IG11 7NY, UK",51.53579690000001,0.0823434,Barking and Dagenham
27,Tasty Chicken & Ribs,"431 Porters Ave, Dagenham RM9 4ND, UK",51.5416064,0.1144421,Barking and Dagenham
28,The Dixy Chicken,"54 Station Parade, Barking IG11 8EB, UK",51.539105,0.08143489999999999,Barking and Dagenham
29,The Grub,"732 Green Ln, Dagenham RM8 1YX, UK",51.5625959,0.1207646,Barking and Dagenham
30,The Perfect Fried Chicken,"116 Becontree Ave, Dagenham RM8 2TS, UK",51.5545121,0.118162,Barking and Dagenham
31,Yong’s Chinese Take-Away,"209 Reede Rd, Dagenham RM10 8EH, UK",51.5464679,0.1598683,Barking and Dagenham
32,Yummy Grill,"70 Wood Ln, Dagenham RM8 2NT, UK",51.551568,0.129349,Barking and Dagenham
33,BANG BANG Chicken,"215A Deansbrook Rd, Edgware HA8 9BU, UK",51.6105744,-0.2578451,Barnet
34,Champs American Fried Chicken,"22 Church Hill Rd, London, Barnet EN4 8TB, UK",51.6414478,-0.162859,Barnet
35,Chicken Cottage,"188A W Hendon Broadway, Hendon, London NW9 7EE, UK",51.57682730000001,-0.2386298,Barnet
36,Chicken Land,"53 Colindale Ave, London NW9 5EP, UK",51.5936446,-0.2542484,Barnet
37,Chicken Valley,"72 High St, Edgware HA8 7EJ, UK",51.6104448,-0.2786281,Barnet
38,Dixy Chicken,"620 Finchley Rd, Golders Green, London NW11 7RR, UK",51.5710074,-0.1950369,Barnet
39,Dixy Fried Chicken,"78 Watling Ave, Edgware HA8 0LU, UK",51.60203449999999,-0.2646032,Barnet
40,Fresh Fry Fish & Chips,"1-2 Western Parade, Great N Rd, New Barnet, Barnet EN5 1AD, UK",51.6463006,-0.1873174,Barnet
41,KFC,"133-135 High St, Barnet EN5 5UZ, UK",51.6558253,-0.2020704,Barnet
42,KFC,"9 Edgware Rd, London NW9 5EB, UK",51.5934444,-0.2582047,Barnet
43,KFC,"89 Ballards Ln, Finchley, London N3 1XY, UK",51.6041452,-0.1899743,Barnet
44,KFC,"13 Watford Way, Hendon, London NW4 3JL, UK",51.58333529999999,-0.2280108,Barnet
