,Shop,Address,Latitude,Longitude,Borough
0,Broad Street Cafe Dagenham,"Broad St, Dagenham RM10 9HP, UK",51.53645090000001,0.1512893,Barking and Dagenham
1,COULEUR CAFE,"5 Station Parade, Barking IG11 8TU, UK",51.5383064,0.0797498,Barking and Dagenham
2,Cafe Zone,"48 Whalebone Ln S, Dagenham RM8 1BB, UK",51.5635004,0.1467877,Barking and Dagenham
3,Costa Coffee,"62-64 Station Parade, Barking IG11 8EA, UK",51.5392777,0.0815838,Barking and Dagenham
4,Costa Coffee Barking Tesco,"Highbridge Rd, Barking IG11 7BS, UK",51.5362109,0.07074799999999999,Barking and Dagenham
5,Eastbrook Cafe & Restuarant,"264 Rainham Rd S, Dagenham RM10 7UU, UK",51.550819,0.161421,Barking and Dagenham
6,Enjoy Cafe,"532 Rainham Rd S, east, Dagenham RM10 7XD, UK",51.5468596,0.164816,Barking and Dagenham
7,EzO Bistro,"39 Station Parade, Barking IG11 8EB, UK",51.5393912,0.0806813,Barking and Dagenham
8,Greggs,"12 Woodward Rd, Dagenham RM9 4SH, UK",51.5389669,0.1271537,Barking and Dagenham
9,Greggs,"792 Green Ln, Dagenham RM8 1YT, UK",51.5619423,0.1234282,Barking and Dagenham
10,Greggs Barking,"59 East St, London, Barking IG11 8EJ, UK",51.5377648,0.07906819999999999,Barking and Dagenham
11,Ma Bakers,"668 Rainham Rd S, Dagenham RM10 8YS, UK",51.5406735,0.165679,Barking and Dagenham
12,Miss Ellies,"Barking Station, Station Parade, Barking IG11 8TU, UK",51.53963520000001,0.0810031,Barking and Dagenham
13,Muffin Break,"66 Burlington Gardens, Dagenham, Romford RM6 6ET, UK",51.5695121,0.1416267,Barking and Dagenham
14,Pietro's,"Pietro's Cafe, 141 Church Elm Ln, Dagenham RM10 9RR, UK",51.5399955,0.15664,Barking and Dagenham
15,Relish@BLC,"Barking IG11 7NB, UK",51.536328,0.0793012,Barking and Dagenham
16,Riverside Coffee Lounge,"Minter Road, Barking IG11 0GE, UK",51.5206104,0.1078983,Barking and Dagenham
17,Rosielee Cafe & Restaurant,"153 Broad St, Dagenham RM10 9HX, UK",51.5350579,0.1512506,Barking and Dagenham
18,Selecta UK,"4, Thames Gateway Park, Choats Rd, Barking, Dagenham RM9 6RH, UK",51.5239979,0.1423718,Barking and Dagenham
19,Star Express,"266 Heathway, Dagenham RM10 8QS, UK",51.54226209999999,0.1480333,Barking and Dagenham
20,Storky Coffee & Juice Bar,"Unit 1, Barking Railway Station, London IG11 8TU, UK",51.5394037,0.08067980000000001,Barking and Dagenham
21,Sunny's Cafe,"unit 6, Rippleside Commercial Estate, Barking IG11 0RJ, UK",51.53147999999999,0.1218387,Barking and Dagenham
22,The Corner Coffee House,"808 Green Ln, Dagenham RM8 1YT, UK",51.561637,0.1242891,Barking and Dagenham
23,The Oak Tree Cafe,"847 Longbridge Rd, Dagenham RM8 2DA, UK",51.5517561,0.1152803,Barking and Dagenham
24,Upney Cafe,"4-5, Gibbards Cottages, Upney Ln, Barking IG11 9LG, UK",51.5399442,0.1006756,Barking and Dagenham
25,Barista Coffee House,"5 Station Forecourt, Station Rd, London, Edgware HA8 7AW, United Kingdom",51.6136876,-0.2755772,Barnet
26,Bespoke cafe,"103 Ballards Ln, Finchley, London N3 1XY, UK",51.604369,-0.189601,Barnet
27,Bites Coffee House,"362 Regents Park Rd, Finchley, London N3 2LJ, UK",51.60094549999999,-0.1938987,Barnet
28,Bites Partnership,"360 Regents Park Rd, Finchley, London N3 2LD, UK",51.6009722,-0.1939138,Barnet
29,Bluebelles of Portobello,"57 The Broadway, Mill Hill, London NW7 3DA, UK",51.6149046,-0.2468692,Barnet
30,Boydens Kitchen,"61 Friern Barnet Rd, London N11 3EH, UK",51.6152952,-0.146314,Barnet
31,Busy Bee Cafe,"227 Deansbrook Rd, Edgware HA8 9BX, UK",51.61057750000001,-0.2573532,Barnet
32,Cafe De Paris,"8 Watford Way, Hendon, London NW4 3AD, UK",51.5833902,-0.2272519,Barnet
33,Cafe Mio,"72 Ballards Ln, Finchley, London N3 2BU, UK",51.6033708,-0.1904558,Barnet
34,Caffe Granello,"148 E Barnet Rd, London, Barnet EN4 8RD, UK",51.6477442,-0.1682644,Barnet
35,Caffe Trio Icy Pack,"191 Station Rd, Edgware HA8 7JX, UK",51.6155124,-0.2758553,Barnet
36,Caffè Nero,"23-25 Golders Green Rd, Golders Green, London NW11 8EE, UK",51.571909,-0.1969303,Barnet
37,Caffè Nero,"Brent Cross Shopping Centre, C/O Fenwicks, London NW4 3FN, United Kingdom",51.5767943,-0.2219216,Barnet
38,Caffè Nero,"79 High Rd, East Finchley, London N2 8AD, UK",51.5902846,-0.1644201,Barnet
39,Caffè Nero,"67-70 Station Rd, Edgware HA8 7BD, UK",51.613149,-0.2769555,Barnet
40,Caffè Nero,"776 High Rd, North Finchley, London N12 9QH, UK",51.6156783,-0.1764853,Barnet
41,Caffè Nero,"128 High St, Barnet EN5 5XQ, UK",51.65489239999999,-0.2015483,Barnet
42,Campbell & Syme Coffee Roasters Cafe,"9 Fortis Green, East Finchley, London N2 9JR, UK",51.589468,-0.163207,Barnet
43,Carpe Diem Coffee Bar,"37 Vivian Ave, Hendon, London NW4 3UX, UK",51.5824241,-0.2294033,Barnet
44,Coffee Bank London,"85 High Rd, East Finchley, London N2 8AE, UK",51.590454,-0.164553,Barnet
45,Coffee Bean Ltd,"111 High St, London EN5 5XY, UK",51.6556757,-0.2033212,Barnet
46,Coffee Culture,"1289 High Rd, Whetstone, London N20 9HS, UK",51.63097759999999,-0.1754086,Barnet
47,Coffee Republic,"43 Golders Green Rd, Golders Green, London NW11 8EE, UK",51.5721024,-0.1975359,Barnet
48,Coffee Temptations,"36 Market Pl, London NW11 6JP, UK",51.585618,-0.1820251,Barnet
49,Coffee pound,"909 Finchley Rd, Golders Green, London NW11 7PE, UK",51.57266019999999,-0.1958592,Barnet
50,Costa,"Unit 34, Broadwalk Shopping Centre, Station Rd, London HA8 7BD, UK",51.6126683,-0.2754672,Barnet
51,Costa Coffee,"388 Finchley Rd, Childs Hill, London NW2 2HR, UK",51.5610418,-0.1968962,Barnet
52,Costa Coffee,"13220 Edgware Rd, London NW2 6LU, UK",51.5697265,-0.2299954,Barnet
53,Costa Coffee,"11 - 13 Golders Green Rd, Golders Green, London NW11 8HB, UK",51.5717769,-0.1960793,Barnet
