,Name,Address,Latitude,Longitude
0,Crazy Fried Chicken,"93 Marlowes, Hemel Hempstead HP1 1LF, UK",51.7531038,-0.4721535
1,Peri Peri Original Chesham,"20 Market Square, Chesham HP5 1ES, UK",51.7038902,-0.6135678
2,Favorite Chicken,"22 London Rd, Hemel Hempstead HP3 9SB, UK",51.7375059,-0.4685529
3,Kebab Point Pizza & Fried Chicken,"16 High St, Hemel Hempstead HP1 3AE, UK",51.75786040000001,-0.4721505
4,The Pomeroy,"131 White Lion Rd, Amersham HP7 9JY, UK",51.6703649,-0.5833936
5,Frango Peri Peri,"350 St Albans Rd, Watford WD24 6PQ, UK",51.6749433,-0.3965133
6,The Gate,"Rickmansworth Rd, Chorleywood, Rickmansworth WD3 5SQ, UK",51.6585689,-0.5027533
7,The Green Dragon,"85 Flaunden Hill, Flaunden, Hemel Hempstead HP3 0PP, UK",51.69675179999999,-0.5339961999999999
8,KFC,"130-134 Hemel Hempstead The, Marlowes, Hemel Hempstead HP1 1EZ, United Kingdom",51.7533355,-0.4725853
9,Rio's Piri Piri,"144 St Albans Rd, Watford WD24 4FT, UK",51.6688348,-0.3977257
10,The Fishery Inn,"2 Fishery Rd, Hemel Hempstead HP1 1NA, UK",51.744263,-0.491005
11,Favorite Chicken & Ribs,"13 Victoria Rd, Ruislip HA4 9AA, UK",51.5734435,-0.4129493
12,Bricklayers Arms,"Hogpits Bottom, Flaunden, Hemel Hempstead HP3 0PH, UK",51.7012054,-0.5291722
13,The Paper Mill,"Stationers Pl, Hemel Hempstead HP3 9RH, UK",51.7336396,-0.4617097
14,"Southern Fried Chicken, Pizza & Curries","41 High St S, Dunstable LU6 3RZ, UK",51.8848765,-0.5191598
15,Tams Peri Peri Chicken,"78 Joel St, Northwood HA6 1LL, UK",51.599605,-0.410066
16,Pepe's Piri Piri Rickmansworth,"139 Uxbridge Rd, Rickmansworth WD3 7DW, UK",51.6359879,-0.48387
17,Sam's Chicken,"172 St Albans Rd, Watford WD24 4AS, UK",51.6697166,-0.3973411000000001
18,The Mallard Harvester,"507 London Rd, Hemel Hempstead HP3 9BQ, UK",51.742769,-0.4895009999999999
19,Southern Fried Chicken,"65 Salusbury Rd, Kilburn, London NW6 6NJ, UK",51.535075,-0.204742
20,Crazy Fried Chicken,"93 Marlowes, Hemel Hempstead HP1 1LF, UK",51.7531038,-0.4721535
21,Favorite Chicken,"22 London Rd, Hemel Hempstead HP3 9SB, UK",51.7375059,-0.4685529
22,Kebab Point Pizza & Fried Chicken,"16 High St, Hemel Hempstead HP1 3AE, UK",51.75786040000001,-0.4721505
23,KFC,"130-134 Hemel Hempstead The, Marlowes, Hemel Hempstead HP1 1EZ, United Kingdom",51.7533355,-0.4725853
24,Frango Peri Peri,"350 St Albans Rd, Watford WD24 6PQ, UK",51.6749433,-0.3965133
25,Rio's Piri Piri,"144 St Albans Rd, Watford WD24 4FT, UK",51.6688348,-0.3977257
26,Sam's Chicken,"172 St Albans Rd, Watford WD24 4AS, UK",51.6697166,-0.3973411000000001
27,The Gate,"Rickmansworth Rd, Chorleywood, Rickmansworth WD3 5SQ, UK",51.6585689,-0.5027533
