,Name,Address,Latitude,Longitude
0,Rootz,"10 Main Parade, Chorleywood, Rickmansworth WD3 5RB, UK",51.65542,-0.52152
1,Harris + Hoole,"47 Sycamore Rd, Amersham HP6 5EQ, UK",51.677844,-0.606492
2,Costa Coffee,"13 Chenies Parade, Little Chalfont, Amersham HP7 9PH, UK",51.6668046,-0.5639877999999999
3,Caffè Nero,"55 Sycamore Rd, Amersham HP6 5EQ, UK",51.6780251,-0.6063147
4,Cafe Africa,"27 Chesham Rd, Amersham HP6 5HN, UK",51.6775044,-0.6075577999999999
5,Fred & Ginger Coffee,"38 High St, Kings Langley WD4 9HT, UK",51.7121721,-0.4497975
6,Costa Coffee Chesham,"31 High St, Chesham HP5 1BW, UK",51.70507449999999,-0.6124948
7,Caffè Nero,"69 The Broadway, Chesham HP5 1BX, UK",51.7060971,-0.6125801
8,Costa Coffee,"35-37 Sycamore Rd, Amersham HP6 5EQ, UK",51.67761729999999,-0.6067988
9,Costa,"40 Lower Rd, Chorleywood, Rickmansworth WD3 5LB, UK",51.6534923,-0.519096
10,Costa Coffee,"19 London Rd W, Amersham HP7 0HA, UK",51.6661976,-0.6113972999999999
11,Greggs,"49 High St, Chesham HP5 1BW, UK",51.7055342,-0.6122124999999999
12,Greggs,"42 Sycamore Rd, Amersham HP6 5DR, UK",51.6776438,-0.606371
13,Coffee House And Deli,"Coffee House And Deli, 141 New Rd, Croxley Green, Rickmansworth WD3 3EN, UK",51.6483974,-0.4481831
14,Fred & Ginger Coffee,"125 High St, Berkhamsted HP4 2DJ, UK",51.7593463,-0.5620997999999999
15,Caffè Nero,"218 Marlowes, Hemel Hempstead HP1 1B, UK",51.7495785,-0.4728305
16,Epilepsy Society Coffee Shop,"Chesham Lane, Chalfont St Peter SL9 0RJ, United Kingdom",51.621559,-0.5514089999999999
17,Coffee House And Deli,"Langley Parade, High St, Abbots Langley WD5 0AD, UK",51.7059258,-0.4172088
18,Caffè Nero,"80 High St, Rickmansworth WD3 1AQ, UK",51.6391746,-0.470619
19,Starbucks Coffee,"Hemel Hempstead, UK",51.75977169999999,-0.4383068
20,Common Ground Coffee House,"1 Chapel Croft, Chipperfield, Kings Langley WD4 9DT, UK",51.7069144,-0.4891721000000001
21,Coffee House And Deli,"Langley Parade, High St, Abbots Langley WD5 0AD, UK",51.7059258,-0.4172088
22,Rootz,"10 Main Parade, Chorleywood, Rickmansworth WD3 5RB, UK",51.65542,-0.52152
23,Koho Coffee,"7 Nightingales Corner, Little Chalfont, Amersham HP7 9PZ, UK",51.6668552,-0.5655817
